" ";"program";"var";"begin";"end";".";":";";";"ID";",";"integer";"real";"boolean";"{";"}";"=";"let";"switch";"case";"for";"to";"do";"while";"loop";"readln";"writeln";"+";"-";"*";"/";"(";")";"CONSTANT";"<";"<=";">";">=";"==";"!="
"program";" ";"=";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"var";" ";" ";"=";" ";" ";"<";" ";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"begin";" ";" ";" ";"=";" ";" ";"<";"<";" ";" ";" ";" ";"<";" ";" ";"<";"<";" ";"<";" ";"<";" ";" ";"<";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"end";" ";" ";" ";" ";"=";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
".";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
":";" ";" ";" ";" ";" ";" ";"=";"<";" ";"<";"<";"<";"<";">";" ";"<";"<";" ";"<";" ";"<";" ";" ";"<";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
";";" ";" ";">";">";" ";" ";"<";"<";" ";" ";" ";" ";"<";">";" ";"<";"<";" ";"<";" ";"<";" ";" ";"<";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ID";" ";" ";" ";">";" ";">";">";">";"=>";" ";" ";" ";">";">";"=";">";" ";">";">";">";">";" ";">";">";">";">";">";">";">";" ";">";" ";">";">";">";">";">";">"
",";" ";" ";" ";">";" ";">";">";"><";"<";" ";" ";" ";" ";">";" ";" ";" ";">";">";" ";" ";" ";">";">";">";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"integer";" ";" ";" ";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"real";" ";" ";" ";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"boolean";" ";" ";" ";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"{";" ";" ";" ";" ";" ";" ";"<";"<";" ";" ";" ";" ";"<";"=";" ";"<";"<";"<";"<";" ";"<";" ";" ";"<";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"}";" ";" ";" ";">";" ";" ";">";" ";" ";" ";" ";" ";" ";">";" ";" ";" ";">";">";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"=";" ";" ";" ";">";" ";" ";">";"<";" ";" ";" ";" ";" ";">";" ";" ";" ";">";">";">";" ";" ";">";" ";" ";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"let";" ";" ";" ";" ";" ";" ";" ";"=";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"switch";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";" ";"=";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"case";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"=";" ";" ";" ";" ";" ";" "
"for";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";"=";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"to";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"=";" ";" ";" ";" ";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"do";" ";" ";" ";">";" ";" ";">";"<";" ";" ";" ";" ";"<";">";" ";"<";"<";">";"><";" ";"<";"=";">";"<";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"while";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"loop";" ";" ";" ";">";" ";" ";">";" ";" ";" ";" ";" ";" ";">";" ";" ";" ";">";">";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"readln";" ";" ";" ";">";" ";" ";">";"<";" ";" ";" ";" ";" ";">";" ";" ";" ";">";">";" ";" ";" ";">";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"writeln";" ";" ";" ";">";" ";" ";">";"<";"<";" ";" ";" ";" ";">";" ";" ";" ";">";">";" ";" ";" ";">";" ";" ";"<";"<";"<";"<";"<";" ";"<";"<";"<";"<";"<";"<";"<"
"+";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";"<";"<";"<";">";"<";">";">";">";">";">";">"
"-";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";"<";"<";"<";">";"<";">";">";">";">";">";">"
"*";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";">";">";"<";">";"<";">";">";">";">";">";">"
"/";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";">";">";"<";">";"<";">";">";">";">";">";">"
"(";" ";" ";" ";" ";" ";" ";" ";"<";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"<";"<";"<";"<";"<";"=";"<";" ";" ";" ";" ";" ";" "
")";" ";" ";" ";">";" ";" ";">";">";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";">";">";" ";">";" ";">";">";">";">";">";">"
"CONSTANT";" ";" ";" ";">";" ";"=";">";">";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";">";">";">";">";" ";">";" ";">";">";">";">";">";">"
"<";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
"<=";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
">";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
">=";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
"==";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
"!=";" ";" ";" ";">";" ";" ";">";"><";">";" ";" ";" ";">";">";" ";">";" ";">";">";">";">";" ";">";" ";">";"<";"<";"<";"<";"<";" ";"<";" ";" ";" ";" ";" ";" "
